engine_id,failed,failure_cycle,op_setting_1_avg_30,op_setting_1_avg_60,op_setting_1_avg_90,op_setting_1_min,op_setting_1_max,op_setting_1_var,op_setting_2_avg_30,op_setting_2_avg_60,op_setting_2_avg_90,op_setting_2_min,op_setting_2_max,op_setting_2_var,op_setting_3_avg_30,op_setting_3_avg_60,op_setting_3_avg_90,op_setting_3_min,op_setting_3_max,op_setting_3_var,sensor_1_avg_30,sensor_1_avg_60,sensor_1_avg_90,sensor_1_min,sensor_1_max,sensor_1_var,sensor_2_avg_30,sensor_2_avg_60,sensor_2_avg_90,sensor_2_min,sensor_2_max,sensor_2_var,sensor_3_avg_30,sensor_3_avg_60,sensor_3_avg_90,sensor_3_min,sensor_3_max,sensor_3_var,sensor_4_avg_30,sensor_4_avg_60,sensor_4_avg_90,sensor_4_min                ,sensor_4_max,sensor_4_var,sensor_5_avg_30,sensor_5_avg_60,sensor_5_avg_90,sensor_5_min,sensor_5_max,sensor_5_var,sensor_6_avg_30,sensor_6_avg_60,sensor_6_avg_90,sensor_6_min,sensor_6_max,sensor_6_var,sensor_7_avg_30,sensor_7_avg_60,sensor_7_avg_90,sensor_7_min,sensor_7_max,sensor_7_var,sensor_8_avg_30,sensor_8_avg_60,sensor_8_avg_90,sensor_8_min,sensor_8_max,sensor_8_var,sensor_9_avg_30,sensor_9_avg_60,sensor_9_avg_90,sensor_9_min,sensor_9_max,sensor_9_var,sensor_10_avg_30,sensor_10_avg_60,sensor_10_avg_90,sensor_10_min,sensor_10_max,sensor_10_var,sensor_11_avg_30,sensor_11_avg_60,sensor_11_avg_90,sensor_11_min,sensor_11_max,sensor_11_var,sensor_12_avg_30,sensor_12_avg_60,sensor_12_avg_90,sensor_12_min,sensor_12_max,sensor_12_var,sensor_13_avg_30,sensor_13_avg_60,sensor_13_avg_90,sensor_13_min,sensor_13_max,sensor_13_var,sensor_14_avg_30,sensor_14_avg_60,sensor_14_avg_90,sensor_14_min,sensor_14_max,sensor_14_var,sensor_15_avg_30,sensor_15_avg_60,sensor_15_avg_90,sensor_15_min,sensor_15_max,sensor_15_var,sensor_16_avg_30,sensor_16_avg_60,sensor_16_avg_90,sensor_16_min,sensor_16_max,sensor_16_var,sensor_17_avg_30,sensor_17_avg_60,sensor_17_avg_90,sensor_17_min,sensor_17_max,sensor_17_var,sensor_18_avg_30,sensor_18_avg_60,sensor_18_avg_90,sensor_18_min,sensor_18_max,sensor_18_var,sensor_19_avg_30,sensor_19_avg_60,sensor_19_avg_90,sensor_19_min,sensor_19_max,sensor_19_var,sensor_20_avg_30,sensor_20_avg_60,sensor_20_avg_90,sensor_20_min,sensor_20_max,sensor_20_var,sensor_21_avg_30,sensor_21_avg_60,sensor_21_avg_90,sensor_21_min,sensor_21_max,sensor_21_var,failure_type
1,1,192,-0.00095,-0.000495,-0.000337778,-0.0067,0.0047,3.82e-06,1e-05,6.67e-06,5.89e-05,-0.0004,0.0005,7.97e-08,100.0,100.0,100.0,100,100,0.0,518.67,518.67,518.67,518.67,518.67,0.0,643.342,643.077,642.9412222,641.71,644.21,0.23696959,1597.482333,1594.533167,1592.655444,1577.6,1605.44,33.17501439,1421.924333,1417.022667,1413.525889,1393.58,1432.52,73.36966924,14.62,14.62,14.62,14.62,14.62,1.27e-29,21.61,21.61,21.61,21.61,21.61,1.27e-29,551.9036667,552.4361667,552.7931111,550.7,554.96,0.828853597,2388.239333,2388.191333,2388.161889,2388.0,2388.32,0.005028728,9043.125667,9045.340167,9046.407667,9033.22,9061.21,24.12630087,1.3,1.3,1.3,1.3,1.3,4.96e-32,47.99533333,47.81666667,47.71566667,47.03,48.33,0.072009588,520.1446667,520.5528333,520.893,519.53,522.86,0.561265115,2388.243333,2388.201333,2388.169778,2387.97,2388.35,0.005922862,8119.789,8123.107,8125.368,8110.93,8140.58,30.948401,8.49394,8.471835,8.457763333,8.3682,8.5227,0.001164489,0.03,0.03,0.03,0.03,0.03,1.09e-34,394.9333333,394.2333333,393.8333333,390,398,2.177574171,2388.0,2388.0,2388.0,2388,2388,0.0,100.0,100.0,100.0,100.0,100,0.0,38.584,38.6745,38.73411111,38.34,39.18,0.027888479,23.13657333,23.19637,23.23622667,22.9588,23.4999,0.011046283,Failure_1
2,1,287,-3.67e-05,-0.000235,-0.000118889,-0.0068,0.0076,5.38e-06,7e-05,8.83e-05,9.22e-05,-0.0004,0.0006,8.87e-08,100.0,100.0,100.0,100,100,0.0,518.67,518.67,518.67,518.67,518.67,0.0,643.427,643.2081667,643.0465556,641.27,643.94,0.313839721,1598.919667,1597.360167,1595.118556,1575.38,1610.1,43.51684115,1424.032667,1419.362833,1415.526778,1387.16,1431.17,94.81399219,14.62,14.62,14.62,14.62,14.62,0.0,21.61,21.61,21.61,21.6,21.61,6.2e-06,551.9676667,552.3845,552.7582222,550.85,555.45,0.884968237,2388.177667,2388.151333,2388.128,2387.94,2388.24,0.003969126,9089.705333,9083.0305,9077.524778,9044.62,9109.36,156.0457465,1.3,1.3,1.3,1.3,1.3,0.0,48.01366667,47.85633333,47.73833333,46.93,48.27,0.086243118,520.1366667,520.5676667,520.8703333,519.48,523.26,0.63898973,2388.171,2388.141833,2388.124778,2387.92,2388.26,0.004078234,8162.183,8157.072333,8153.301667,8129.68,8175.57,75.39469015,8.507046667,8.485941667,8.471371111,8.3428,8.5377,0.001691481,0.03,0.03,0.03,0.03,0.03,0.0,395.4,394.7166667,394.0555556,389,398,2.713530372,2388.0,2388.0,2388.0,2388,2388,0.0,100.0,100.0,100.0,100.0,100,0.0,38.50766667,38.60283333,38.68877778,38.23,39.24,0.039733289,23.10936,23.17400667,23.21172556,22.9721,23.6005,0.013178101,Failure_1
3,1,179,0.000153333,-5e-05,0.000192222,-0.0064,0.0058,4.6e-06,-5.67e-05,1.17e-05,-2.56e-05,-0.0005,0.0005,8.39e-08,100.0,100.0,100.0,100,100,0.0,518.67,518.67,518.67,518.67,518.67,0.0,643.2493333,642.9698333,642.7944444,641.48,643.93,0.224856136,1598.970333,1594.513333,1592.199333,1577.22,1606.5,40.78383412,1419.987667,1414.602667,1410.987889,1389.86,1438.51,74.13427426,14.62,14.62,14.62,14.62,14.62,0.0,21.61,21.61,21.60977778,21.6,21.61,2.2e-06,552.675,553.1193333,553.4053333,551.31,555.28,0.538730896,2388.103,2388.0775,2388.064444,2387.94,2388.19,0.001596579,9149.355,9121.177833,9104.254,9047.08,9197.52,1238.816461,1.3,1.3,1.3,1.3,1.3,4.96e-32,47.853,47.67516667,47.58,46.94,48.38,0.058762532,520.82,521.1855,521.4168889,519.53,523.18,0.353772381,2388.095,2388.073833,2388.062222,2387.95,2388.2,0.001698977,8216.438,8193.2665,8178.834222,8130.42,8255.34,866.6968383,8.489476667,8.468638333,8.453301111,8.3682,8.5363,0.001341026,0.03,0.03,0.03,0.03,0.03,4.84e-35,395.0333333,394.25,393.5777778,390,399,2.467327851,2388.0,2388.0,2388.0,2388,2388,0.0,100.0,100.0,100.0,100.0,100,0.0,38.62033333,38.727,38.78533333,38.37,39.23,0.027593277,23.14555667,23.21697833,23.26136444,22.9562,23.5181,0.010969295,Failure_1
4,1,189,2.67e-05,6.17e-05,2.22e-05,-0.0047,0.0059,4.13e-06,8e-05,0.00011,7.78e-05,-0.0004,0.0006,8.16e-08,100.0,100.0,100.0,100,100,0.0,518.67,518.67,518.67,518.67,518.67,0.0,643.3623333,643.0461667,642.8704444,641.81,644.53,0.19487462,1599.849667,1595.823333,1593.683444,1576.64,1612.11,37.32173493,1421.113333,1415.861,1412.622778,1394.77,1434.12,59.86833352,14.62,14.62,14.62,14.62,14.62,0.0,21.61,21.61,21.61,21.6,21.61,5.29e-07,552.3116667,552.7411667,553.0153333,551.6,554.75,0.501726494,2388.116333,2388.098833,2388.086333,2388.01,2388.18,0.001058229,9150.703333,9121.096833,9103.070222,9045.33,9203.22,1337.488539,1.3,1.3,1.3,1.3,1.3,4.96e-32,47.89966667,47.76083333,47.66366667,47.15,48.21,0.049605966,520.5876667,520.948,521.1844444,519.6,522.48,0.281067601,2388.123667,2388.099667,2388.091,2387.99,2388.17,0.001212349,8216.017333,8191.075667,8176.177444,8125.32,8259.42,941.9853684,8.492596667,8.471561667,8.460254444,8.3683,8.5462,0.001020593,0.03,0.03,0.03,0.03,0.03,0.0,395.8,394.7,394.2666667,390,399,2.569120793,2388.0,2388.0,2388.0,2388,2388,0.0,100.0,100.0,100.0,100.0,100,0.0,38.58566667,38.67333333,38.74255556,38.29,39.21,0.025377057,23.15178333,23.20375667,23.24396111,23.0135,23.5074,0.00879926,Failure_1
5,1,269,0.00082,0.000358333,0.000187778,-0.0063,0.0055,4.49e-06,-4.33e-05,-3.5e-05,-5.33e-05,-0.0005,0.0005,7.78e-08,100.0,100.0,100.0,100,100,0.0,518.67,518.67,518.67,518.67,518.67,0.0,643.4593333,643.1923333,642.9896667,641.3,644.02,0.304198716,1600.592333,1597.858167,1595.013556,1574.8,1609.41,49.85274672,1424.453,1419.242,1415.684333,1389.19,1434.59,95.69418636,14.62,14.62,14.62,14.62,14.62,0.0,21.61,21.61,21.60988889,21.6,21.61,6.27e-06,552.0693333,552.5816667,552.8861111,550.77,555.57,0.802339644,2388.135667,2388.1075,2388.089333,2387.92,2388.21,0.003082661,9132.106667,9118.517,9108.317778,9056.42,9157.05,458.1325592,1.3,1.3,1.3,1.3,1.3,4.95e-32,47.985,47.83483333,47.71511111,46.97,48.27,0.08164745,520.3516667,520.742,521.0524444,519.57,523.04,0.567458112,2388.138333,2388.109,2388.085,2387.92,2388.23,0.003186073,8199.072333,8188.464667,8180.800556,8140.95,8215.19,271.595455,8.502733333,8.481815,8.465396667,8.3536,8.541,0.001494443,0.03,0.03,0.03,0.03,0.03,1.21e-35,395.8333333,395.0,394.4,389,398,3.027797814,2388.0,2388.0,2388.0,2388,2388,0.0,100.0,100.0,100.0,100.0,100,0.0,38.546,38.6315,38.69622222,38.34,39.29,0.03501861,23.13629333,23.17888333,23.22175444,23.0195,23.5503,0.012702368,Failure_1
6,1,188,5e-05,-0.000153333,-4.78e-05,-0.0069,0.0044,5.16e-06,-2e-05,-1.67e-05,-5.56e-06,-0.0005,0.0005,1.05e-07,100.0,100.0,100.0,100,100,0.0,518.67,518.67,518.67,518.67,518.67,0.0,643.6193333,643.3585,643.2044444,641.82,644.12,0.208059734,1599.681,1596.787,1595.639556,1581.62,1607.63,28.08255932,1425.810333,1421.8055,1418.782778,1400.61,1434.92,50.6920442,14.62,14.62,14.62,14.62,14.62,0.0,21.61,21.61,21.61,21.61,21.61,5.08e-29,551.617,552.0316667,552.3333333,550.59,553.99,0.499288486,2388.275667,2388.2405,2388.218556,2388.08,2388.35,0.003647249,9033.899,9035.924833,9037.369667,9021.73,9051.18,23.43742051,1.3,1.3,1.3,1.3,1.3,4.96e-32,48.07433333,47.96783333,47.87244444,47.36,48.34,0.048487026,519.9706667,520.2928333,520.5292222,518.98,522.21,0.356426633,2388.278,2388.243167,2388.219889,2388.06,2388.36,0.003734475,8111.644,8114.578833,8116.339556,8102.82,8128.37,23.53575748,8.500246667,8.487181667,8.477083333,8.3731,8.5358,0.000919733,0.03,0.03,0.03,0.03,0.03,1.21e-35,395.6333333,394.8666667,394.4333333,391,397,1.737484355,2388.0,2388.0,2388.0,2388,2388,0.0,100.0,100.0,100.0,100.0,100,0.0,38.52633333,38.5885,38.63744444,38.25,39.1,0.021772056,23.09899333,23.14407833,23.17753667,22.9396,23.4517,0.008629871,Failure_1
7,1,259,0.000803333,0.000241667,0.000287778,-0.0072,0.0068,5.66e-06,-7e-05,-5.67e-05,-5.89e-05,-0.0005,0.0005,8.27e-08,100.0,100.0,100.0,100,100,0.0,518.67,518.67,518.67,518.67,518.67,1.3e-26,643.483,643.2146667,643.0307778,641.44,644.27,0.252164901,1598.385667,1596.395333,1594.851222,1578.03,1607.7,33.04967205,1423.999,1419.7625,1416.307444,1390.39,1436.55,87.7070421,14.62,14.62,14.62,14.62,14.62,1.27e-29,21.61,21.61,21.61,21.6,21.61,2.64e-06,551.875,552.3398333,552.643,551.12,555.14,0.865592927,2388.197,2388.162167,2388.137222,2387.94,2388.27,0.005173045,9075.554667,9075.228333,9074.233222,9054.44,9088.71,22.55353777,1.3,1.3,1.3,1.3,1.3,4.95e-32,47.99533333,47.8635,47.75844444,47.0,48.35,0.07499396,520.0193333,520.5178333,520.8101111,519.06,523.0,0.627041367,2388.199667,2388.1625,2388.136,2387.94,2388.27,0.004936892,8148.428333,8148.636667,8149.131556,8139.94,8158.87,11.44408437,8.500153333,8.48628,8.471563333,8.3575,8.5627,0.001460772,0.03,0.03,0.03,0.03,0.03,4.83e-35,395.6333333,395.15,394.6,390,398,2.658854868,2388.0,2388.0,2388.0,2388,2388,0.0,100.0,100.0,100.0,100.0,100,0.0,38.55133333,38.626,38.67988889,38.38,39.22,0.033430744,23.10891667,23.16547667,23.20147889,22.9398,23.5133,0.012337744,Failure_1
8,1,150,0.00064,0.000328333,0.000266667,-0.0057,0.0053,4.85e-06,2.67e-05,4.5e-05,4.67e-05,-0.0005,0.0005,8.4e-08,100.0,100.0,100.0,100,100,0.0,518.67,518.67,518.67,518.67,518.67,0.0,643.4526667,643.2026667,643.093,641.82,644.02,0.183174859,1598.746667,1596.2235,1594.642444,1581.06,1610.35,28.03641481,1422.787667,1418.9825,1416.835,1400.07,1432.31,41.36348523,14.62,14.62,14.62,14.62,14.62,3.18e-30,21.61,21.61,21.61,21.61,21.61,1.27e-29,551.6663333,552.1858333,552.4855556,550.49,554.04,0.500514671,2388.248,2388.218,2388.200222,2388.06,2388.32,0.002877714,9046.566,9045.798333,9045.174222,9034.65,9053.79,17.3594628,1.3,1.3,1.3,1.3,1.3,0.0,48.033,47.89683333,47.81488889,47.28,48.37,0.043498564,520.073,520.4196667,520.6205556,519.31,522.13,0.322657096,2388.240333,2388.210667,2388.193889,2388.07,2388.3,0.002614318,8121.575,8122.475,8122.874111,8115.23,8131.45,11.01785898,8.50367,8.485668333,8.475272222,8.3967,8.5639,0.000962541,0.03,0.03,0.03,0.03,0.03,1.21e-35,395.0333333,394.45,394.2444444,390,397,1.511230425,2388.0,2388.0,2388.0,2388,2388,0.0,100.0,100.0,100.0,100.0,100,0.0,38.52533333,38.61316667,38.66611111,38.24,39.04,0.021968251,23.11373667,23.16729,23.19539333,22.983,23.3798,0.00663121,Failure_1
9,1,201,-0.00041,1.17e-05,-0.000374444,-0.006,0.005,4.66e-06,1.67e-05,-3.17e-05,-2.44e-05,-0.0005,0.0005,8.66e-08,100.0,100.0,100.0,100,100,0.0,518.67,518.67,518.67,518.67,518.67,0.0,643.1876667,642.8755,642.7343333,641.41,644.04,0.229138164,1598.065333,1593.954667,1592.366,1574.3,1607.04,37.28439372,1418.101667,1412.545167,1408.731222,1386.43,1433.83,75.36360308,14.62,14.62,14.62,14.62,14.62,3.17e-30,21.61,21.60983333,21.60966667,21.6,21.61,7.36e-06,552.906,553.4323333,553.6723333,551.71,555.66,0.469957179,2388.109667,2388.066333,2388.048,2387.94,2388.5,0.003866199,9175.246333,9143.9625,9124.563667,9051.59,9239.76,1596.504277,1.3,1.3,1.3,1.3,1.3,4.96e-32,47.76,47.61066667,47.51266667,46.88,48.11,0.054849164,520.942,521.3821667,521.5934444,519.86,523.12,0.376930453,2388.109667,2388.065667,2388.041333,2387.88,2388.56,0.004451095,8239.13,8212.355833,8196.635667,8140.94,8289.63,1093.680473,8.477266667,8.454416667,8.441607778,8.3487,8.5282,0.001216454,0.03,0.03,0.03,0.03,0.03,4.84e-35,395.1666667,394.2166667,393.7111111,389,399,2.711094527,2388.0,2388.0,2388.0,2388,2388,0.0,100.0,100.0,100.0,100.0,100,0.0,38.633,38.73666667,38.79988889,38.39,39.27,0.027119945,23.17267667,23.23358833,23.27783667,23.0226,23.5349,0.011087964,Failure_1
10,1,222,-0.000103333,-5.17e-05,-2.78e-05,-0.0074,0.0063,5.21e-06,1e-05,-3.33e-05,0.0,-0.0004,0.0005,8.15e-08,100.0,100.0,100.0,100,100,0.0,518.67,518.67,518.67,518.67,518.67,0.0,643.4353333,643.1825,642.9498889,641.38,644.35,0.332976636,1598.526,1594.5145,1592.159111,1571.04,1613.62,39.17893354,1421.147333,1416.511667,1412.818556,1388.15,1436.29,84.19021334,14.62,14.62,14.62,14.62,14.62,0.0,21.61,21.61,21.61,21.6,21.61,5.54e-06,552.3046667,552.7175,553.0475556,551.45,555.42,0.773978493,2388.159667,2388.1265,2388.107444,2387.96,2388.25,0.003379259,9100.131,9088.791667,9081.615556,9043.1,9115.44,264.251245,1.3,1.3,1.3,1.3,1.3,4.46e-31,47.91966667,47.77766667,47.65777778,46.96,48.13,0.076925816,520.3486667,520.7271667,521.0411111,519.22,523.04,0.56421876,2388.158,2388.128,2388.106222,2387.94,2388.25,0.003252415,8170.227333,8162.365833,8157.045667,8129.38,8183.55,133.5404845,8.490903333,8.470963333,8.454624444,8.3279,8.5312,0.001471831,0.03,0.03,0.03,0.03,0.03,4.84e-35,395.2,394.4333333,393.8666667,389,398,2.747564306,2388.0,2388.0,2388.0,2388,2388,0.0,100.0,100.0,100.0,100.0,100,0.0,38.57966667,38.66816667,38.74066667,38.22,39.43,0.036397057,23.16724333,23.21645167,23.25219667,22.9937,23.5493,0.010968356,Failure_1
